Zipcode,Median year housing units were built,Median contract rent,Median gross rent (contract rent plus utilities),Median value (dollars) for Owner-Occupied housing units,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status,NAME,Year
78610,2006.0,1034.0,1238.0,241500.0,1866.0,ZCTA5 78610,2018
78613,2002.0,1205.0,1355.0,275900.0,2018.0,ZCTA5 78613,2018
78617,2000.0,977.0,1229.0,137400.0,1374.0,ZCTA5 78617,2018
78641,2004.0,1231.0,1500.0,236400.0,1797.0,ZCTA5 78641,2018
78652,2000.0,1242.0,1346.0,280100.0,1823.0,ZCTA5 78652,2018
78653,2004.0,1099.0,1352.0,168300.0,1439.0,ZCTA5 78653,2018
78660,2003.0,1202.0,1355.0,214600.0,1700.0,ZCTA5 78660,2018
78664,1996.0,1058.0,1228.0,193900.0,1533.0,ZCTA5 78664,2018
78681,1997.0,1214.0,1379.0,281200.0,2067.0,ZCTA5 78681,2018
78701,2004.0,1873.0,1950.0,435400.0,2680.0,ZCTA5 78701,2018
78702,1972.0,962.0,1159.0,361500.0,1945.0,ZCTA5 78702,2018
78703,1969.0,1337.0,1452.0,822800.0,3741.0,ZCTA5 78703,2018
78704,1979.0,1203.0,1344.0,500600.0,2618.0,ZCTA5 78704,2018
78705,1984.0,1176.0,1238.0,444700.0,2788.0,ZCTA5 78705,2018
78712,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,ZCTA5 78712,2018
78717,2004.0,1201.0,1338.0,347900.0,2444.0,ZCTA5 78717,2018
78719,1985.0,686.0,840.0,131800.0,1261.0,ZCTA5 78719,2018
78721,1972.0,902.0,1100.0,245500.0,1337.0,ZCTA5 78721,2018
78722,1953.0,1194.0,1359.0,382700.0,1934.0,ZCTA5 78722,2018
78723,1975.0,893.0,1049.0,300600.0,1892.0,ZCTA5 78723,2018
78724,1997.0,933.0,1216.0,133400.0,1294.0,ZCTA5 78724,2018
78725,2004.0,1247.0,1504.0,160200.0,1370.0,ZCTA5 78725,2018
78726,2001.0,1064.0,1189.0,447400.0,2756.0,ZCTA5 78726,2018
78727,1994.0,1141.0,1274.0,271200.0,1796.0,ZCTA5 78727,2018
78728,1994.0,992.0,1132.0,228200.0,1645.0,ZCTA5 78728,2018
78729,1992.0,1086.0,1250.0,261800.0,1782.0,ZCTA5 78729,2018
78730,1999.0,1219.0,1329.0,700300.0,4001.0,ZCTA5 78730,2018
78731,1977.0,1150.0,1266.0,606000.0,3109.0,ZCTA5 78731,2018
78732,2005.0,1456.0,1496.0,519100.0,3266.0,ZCTA5 78732,2018
78733,1993.0,1720.0,1842.0,579500.0,3193.0,ZCTA5 78733,2018
78734,1993.0,1540.0,1759.0,406800.0,2432.0,ZCTA5 78734,2018
78735,1999.0,1312.0,1453.0,482400.0,2847.0,ZCTA5 78735,2018
78736,1988.0,1327.0,1490.0,330000.0,2278.0,ZCTA5 78736,2018
78737,2003.0,1409.0,1565.0,428000.0,2861.0,ZCTA5 78737,2018
78738,2005.0,1408.0,1529.0,553000.0,3158.0,ZCTA5 78738,2018
78739,2001.0,2240.0,2309.0,447500.0,2720.0,ZCTA5 78739,2018
78741,1987.0,932.0,1082.0,194000.0,1546.0,ZCTA5 78741,2018
78742,1974.0,953.0,1067.0,58300.0,-666666666.0,ZCTA5 78742,2018
78744,1992.0,942.0,1157.0,138500.0,1271.0,ZCTA5 78744,2018
78745,1980.0,1115.0,1293.0,255200.0,1628.0,ZCTA5 78745,2018
78746,1986.0,1389.0,1519.0,851900.0,3948.0,ZCTA5 78746,2018
78747,2003.0,1253.0,1390.0,222700.0,1479.0,ZCTA5 78747,2018
78748,2000.0,1229.0,1392.0,256200.0,1703.0,ZCTA5 78748,2018
78749,1994.0,1266.0,1396.0,322400.0,1984.0,ZCTA5 78749,2018
78750,1986.0,1218.0,1353.0,388900.0,2264.0,ZCTA5 78750,2018
78751,1965.0,1200.0,1299.0,450000.0,2540.0,ZCTA5 78751,2018
78752,1979.0,877.0,1061.0,253800.0,1770.0,ZCTA5 78752,2018
78753,1986.0,876.0,1058.0,177300.0,1505.0,ZCTA5 78753,2018
78754,2001.0,1042.0,1204.0,211000.0,1713.0,ZCTA5 78754,2018
78756,1969.0,1146.0,1236.0,493200.0,2630.0,ZCTA5 78756,2018
78757,1966.0,998.0,1178.0,389000.0,2223.0,ZCTA5 78757,2018
78758,1983.0,965.0,1142.0,202200.0,1446.0,ZCTA5 78758,2018
78759,1985.0,1119.0,1260.0,414600.0,2472.0,ZCTA5 78759,2018
