Zipcode,Median year housing units were built,Median contract rent,Median gross rent (contract rent plus utilities),Median value (dollars) for Owner-Occupied housing units,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status
78610,1997.0,864.0,1053.0,183600.0,1692.0
78613,2000.0,942.0,1092.0,194700.0,1817.0
78617,1998.0,699.0,1041.0,100600.0,1242.0
78641,2000.0,986.0,1267.0,155400.0,1578.0
78652,1983.0,938.0,1131.0,194700.0,1682.0
78653,2003.0,1001.0,1333.0,141300.0,1527.0
78660,2001.0,917.0,1128.0,163900.0,1619.0
78664,1995.0,817.0,1033.0,147600.0,1503.0
78681,1996.0,944.0,1204.0,213000.0,1887.0
78701,2000.0,1433.0,1590.0,338300.0,2633.0
78702,1960.0,584.0,766.0,175400.0,1337.0
78703,1961.0,1059.0,1183.0,621900.0,3230.0
78704,1974.0,814.0,940.0,338200.0,2112.0
78705,1979.0,971.0,1088.0,292500.0,2207.0
78712,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
78717,2002.0,872.0,1018.0,243200.0,2215.0
78719,1993.0,303.0,442.0,111000.0,1239.0
78721,1970.0,668.0,870.0,121000.0,1119.0
78722,1955.0,814.0,930.0,265100.0,1961.0
78723,1971.0,666.0,817.0,176500.0,1408.0
78724,1990.0,711.0,962.0,105700.0,1230.0
78725,1999.0,951.0,1189.0,114400.0,1185.0
78726,2001.0,870.0,1050.0,349900.0,2438.0
78727,1992.0,891.0,1050.0,198500.0,1662.0
78728,1992.0,767.0,901.0,168600.0,1491.0
78729,1990.0,857.0,1008.0,192300.0,1646.0
78730,1998.0,973.0,1106.0,570400.0,3184.0
78731,1977.0,895.0,1016.0,436800.0,2635.0
78732,2003.0,1431.0,1688.0,388600.0,3006.0
78733,1992.0,1268.0,1496.0,467700.0,2775.0
78734,1992.0,1086.0,1311.0,321700.0,2303.0
78735,1996.0,968.0,1122.0,379900.0,2791.0
78736,1987.0,990.0,1146.0,215500.0,1719.0
78737,1995.0,1136.0,1185.0,324500.0,2478.0
78738,2002.0,1183.0,1341.0,466700.0,3246.0
78739,2000.0,2001.0,2001.0,350500.0,2568.0
78741,1984.0,682.0,835.0,120200.0,1255.0
78742,1980.0,346.0,639.0,54400.0,772.0
78744,1987.0,729.0,946.0,108100.0,1263.0
78745,1980.0,832.0,990.0,166200.0,1378.0
78746,1986.0,1117.0,1221.0,619900.0,3334.0
78747,2002.0,881.0,1061.0,163000.0,1457.0
78748,1995.0,902.0,1095.0,185500.0,1612.0
78749,1994.0,984.0,1150.0,233900.0,1797.0
78750,1985.0,854.0,1012.0,303100.0,2030.0
78751,1969.0,757.0,865.0,292200.0,1978.0
78752,1975.0,634.0,752.0,153000.0,1349.0
78753,1985.0,674.0,826.0,134900.0,1344.0
78754,2001.0,828.0,969.0,167600.0,1584.0
78756,1958.0,804.0,888.0,342300.0,2118.0
78757,1964.0,742.0,895.0,253300.0,1780.0
78758,1983.0,725.0,898.0,144200.0,1333.0
78759,1985.0,828.0,962.0,307800.0,2080.0
2012,2012,2012,2012,2012,2012
