Zipcode,Education (No Schooling),Education (High School),Education (GED),Education (Associate's),Education (Bachelor's),Education (Master's),Education (Professional),Education (Doctorate),Year
78610,145.0,3554.0,922.0,1321.0,5012.0,1682.0,71.0,271.0,2016
78613,171.0,6174.0,1488.0,3857.0,14935.0,5719.0,816.0,454.0,2016
78617,563.0,3942.0,826.0,570.0,1093.0,328.0,64.0,27.0,2016
78641,395.0,5694.0,1345.0,3722.0,8961.0,3044.0,486.0,441.0,2016
78652,79.0,692.0,54.0,213.0,1011.0,278.0,89.0,78.0,2016
78653,267.0,2428.0,598.0,932.0,2057.0,486.0,17.0,115.0,2016
78660,747.0,8524.0,1868.0,5542.0,13781.0,4833.0,577.0,404.0,2016
78664,692.0,7372.0,1254.0,3320.0,7496.0,2789.0,452.0,342.0,2016
78681,344.0,4214.0,1054.0,2621.0,12027.0,4557.0,569.0,504.0,2016
78701,73.0,432.0,36.0,223.0,2623.0,1531.0,432.0,361.0,2016
78702,648.0,2908.0,718.0,444.0,3883.0,1348.0,384.0,210.0,2016
78703,31.0,434.0,76.0,280.0,6970.0,3653.0,1972.0,786.0,2016
78704,223.0,2908.0,590.0,1562.0,14067.0,4664.0,1716.0,1134.0,2016
78705,77.0,327.0,67.0,201.0,2638.0,1144.0,248.0,401.0,2016
78712,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2016
78717,48.0,1336.0,363.0,1316.0,7106.0,2771.0,487.0,436.0,2016
78719,8.0,278.0,61.0,56.0,69.0,15.0,5.0,14.0,2016
78721,346.0,1757.0,493.0,314.0,1183.0,381.0,119.0,38.0,2016
78722,27.0,652.0,81.0,174.0,2175.0,1090.0,188.0,141.0,2016
78723,592.0,3705.0,814.0,982.0,5203.0,2083.0,386.0,268.0,2016
78724,367.0,2836.0,628.0,564.0,1139.0,283.0,35.0,119.0,2016
78725,142.0,1465.0,264.0,183.0,655.0,219.0,16.0,13.0,2016
78726,95.0,481.0,31.0,382.0,3742.0,1845.0,248.0,207.0,2016
78727,93.0,2277.0,613.0,1295.0,8012.0,3016.0,485.0,396.0,2016
78728,147.0,3023.0,326.0,1292.0,4869.0,1301.0,146.0,188.0,2016
78729,19.0,2605.0,380.0,1688.0,7144.0,2363.0,528.0,297.0,2016
78730,18.0,405.0,54.0,325.0,2645.0,1286.0,423.0,219.0,2016
78731,96.0,1147.0,219.0,645.0,7880.0,4564.0,1632.0,998.0,2016
78732,41.0,605.0,41.0,646.0,4550.0,1777.0,602.0,432.0,2016
78733,17.0,377.0,40.0,255.0,2364.0,1145.0,546.0,348.0,2016
78734,15.0,1889.0,222.0,668.0,4847.0,1764.0,310.0,318.0,2016
78735,78.0,1172.0,133.0,410.0,4689.0,2131.0,701.0,404.0,2016
78736,0.0,715.0,177.0,402.0,2173.0,809.0,113.0,105.0,2016
78737,59.0,932.0,121.0,721.0,3928.0,1790.0,207.0,244.0,2016
78738,25.0,926.0,62.0,513.0,4526.0,1774.0,430.0,216.0,2016
78739,0.0,815.0,54.0,637.0,5497.0,2353.0,532.0,580.0,2016
78741,884.0,4997.0,1058.0,1793.0,6155.0,1972.0,368.0,317.0,2016
78742,50.0,95.0,15.0,53.0,45.0,7.0,0.0,0.0,2016
78744,1306.0,6549.0,1172.0,1425.0,3329.0,852.0,189.0,31.0,2016
78745,468.0,7292.0,2038.0,2556.0,12198.0,3805.0,859.0,517.0,2016
78746,27.0,774.0,167.0,640.0,8553.0,4059.0,2065.0,911.0,2016
78747,416.0,2644.0,571.0,744.0,2972.0,759.0,119.0,103.0,2016
78748,217.0,5602.0,1078.0,2146.0,9970.0,3902.0,453.0,287.0,2016
78749,104.0,2221.0,337.0,1464.0,10592.0,4359.0,914.0,752.0,2016
78750,241.0,2413.0,537.0,1318.0,7101.0,3541.0,676.0,544.0,2016
78751,56.0,779.0,187.0,312.0,4359.0,2008.0,432.0,518.0,2016
78752,451.0,2724.0,185.0,311.0,2705.0,760.0,295.0,81.0,2016
78753,1048.0,8624.0,1558.0,1691.0,4903.0,1172.0,279.0,268.0,2016
78754,361.0,2843.0,397.0,1408.0,3159.0,1480.0,217.0,199.0,2016
78756,22.0,494.0,163.0,221.0,2941.0,1419.0,287.0,361.0,2016
78757,147.0,2157.0,395.0,1028.0,6434.0,2712.0,511.0,452.0,2016
78758,697.0,6538.0,1046.0,1702.0,7372.0,2090.0,325.0,613.0,2016
78759,108.0,2535.0,406.0,1532.0,11999.0,6136.0,1304.0,1549.0,2016
