Zipcode,Education (No Schooling),Education (High School),Education (GED),Education (Associate's),Education (Bachelor's),Education (Master's),Education (Professional),Education (Doctorate),Year
78610,51.0,3805.0,713.0,1224.0,4668.0,1364.0,66.0,242.0,2015
78613,115.0,6227.0,1277.0,3626.0,14815.0,5403.0,915.0,580.0,2015
78617,455.0,3414.0,913.0,632.0,1138.0,239.0,77.0,23.0,2015
78641,341.0,5689.0,1262.0,3477.0,8093.0,2502.0,260.0,339.0,2015
78652,43.0,682.0,54.0,201.0,1416.0,252.0,38.0,21.0,2015
78653,380.0,2448.0,533.0,904.0,1872.0,398.0,63.0,128.0,2015
78660,722.0,8529.0,1613.0,5189.0,13168.0,4628.0,457.0,347.0,2015
78664,771.0,6506.0,1032.0,3105.0,7421.0,2515.0,412.0,346.0,2015
78681,398.0,4230.0,1282.0,2661.0,11457.0,4068.0,640.0,490.0,2015
78701,65.0,292.0,20.0,178.0,2546.0,1312.0,461.0,382.0,2015
78702,614.0,2631.0,685.0,509.0,3385.0,1330.0,311.0,189.0,2015
78703,42.0,454.0,87.0,274.0,6862.0,3542.0,2082.0,646.0,2015
78704,238.0,3016.0,562.0,1570.0,12834.0,4522.0,1654.0,1040.0,2015
78705,71.0,363.0,54.0,238.0,2474.0,1005.0,203.0,577.0,2015
78712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
78717,73.0,1493.0,505.0,1510.0,6523.0,2803.0,445.0,460.0,2015
78719,33.0,308.0,86.0,45.0,75.0,14.0,4.0,12.0,2015
78721,300.0,1818.0,585.0,365.0,940.0,275.0,92.0,23.0,2015
78722,9.0,545.0,87.0,178.0,2283.0,914.0,155.0,137.0,2015
78723,585.0,3604.0,920.0,1027.0,4685.0,1829.0,395.0,357.0,2015
78724,191.0,2858.0,626.0,506.0,1104.0,243.0,31.0,66.0,2015
78725,68.0,1052.0,253.0,159.0,575.0,225.0,7.0,4.0,2015
78726,58.0,433.0,311.0,449.0,3050.0,1911.0,206.0,128.0,2015
78727,82.0,2479.0,562.0,1369.0,7725.0,2810.0,336.0,431.0,2015
78728,147.0,2808.0,354.0,1493.0,4228.0,1539.0,200.0,185.0,2015
78729,19.0,2541.0,303.0,1487.0,6324.0,2131.0,533.0,288.0,2015
78730,16.0,280.0,73.0,272.0,2537.0,1197.0,419.0,285.0,2015
78731,24.0,965.0,178.0,578.0,7941.0,4036.0,1652.0,1119.0,2015
78732,34.0,549.0,136.0,571.0,4315.0,2081.0,475.0,519.0,2015
78733,12.0,399.0,48.0,239.0,2448.0,1157.0,558.0,298.0,2015
78734,15.0,1806.0,264.0,570.0,4607.0,1760.0,271.0,302.0,2015
78735,60.0,1037.0,84.0,483.0,4793.0,2217.0,850.0,467.0,2015
78736,0.0,771.0,184.0,442.0,1991.0,842.0,121.0,92.0,2015
78737,75.0,932.0,125.0,706.0,3813.0,1598.0,401.0,257.0,2015
78738,16.0,879.0,48.0,535.0,4402.0,1699.0,488.0,233.0,2015
78739,0.0,747.0,35.0,572.0,5275.0,2064.0,490.0,515.0,2015
78741,715.0,4934.0,1250.0,1707.0,5339.0,1544.0,253.0,256.0,2015
78742,25.0,103.0,18.0,43.0,57.0,29.0,0.0,4.0,2015
78744,1001.0,5954.0,1140.0,1449.0,3311.0,794.0,120.0,43.0,2015
78745,457.0,7232.0,1834.0,2508.0,11512.0,3659.0,839.0,522.0,2015
78746,25.0,770.0,138.0,641.0,8507.0,4107.0,1963.0,979.0,2015
78747,352.0,2512.0,625.0,666.0,2779.0,617.0,109.0,98.0,2015
78748,191.0,5306.0,958.0,2097.0,9598.0,3687.0,430.0,300.0,2015
78749,134.0,2325.0,353.0,1401.0,10305.0,4528.0,879.0,870.0,2015
78750,183.0,2502.0,503.0,1317.0,7004.0,2848.0,736.0,599.0,2015
78751,71.0,767.0,178.0,389.0,3881.0,1864.0,390.0,445.0,2015
78752,483.0,2673.0,269.0,373.0,2738.0,801.0,206.0,126.0,2015
78753,994.0,7968.0,1343.0,1697.0,4790.0,1132.0,269.0,287.0,2015
78754,322.0,2653.0,429.0,1324.0,3103.0,1331.0,141.0,110.0,2015
78756,10.0,595.0,178.0,187.0,2529.0,1592.0,255.0,380.0,2015
78757,121.0,2319.0,299.0,1071.0,6232.0,2516.0,471.0,535.0,2015
78758,678.0,6238.0,1138.0,1797.0,7272.0,1927.0,192.0,557.0,2015
78759,87.0,2538.0,521.0,1432.0,11558.0,6057.0,1396.0,1448.0,2015
